miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-12136_unannotated,187,30,411,245,76,675,4,531,324,7,88,30
hsa-mir-140_precursor,0,0,0,0,0,0,0,4,0,0,0,0
hsa-mir-576_mature,548,25,625,435,89,666,36,14,4,22,199,49
hsa-mir-7111_stemloop,0,0,0,11,0,0,0,0,0,0,0,0
hsa-mir-4706_mature,15,0,13,8,0,0,0,32,11,0,25,0
hsa-mir-511_mature,24,0,13,10,0,0,0,0,0,0,0,0
hsa-mir-944_mature,10,0,0,8,0,0,0,0,0,0,0,0
hsa-mir-376b_mature,0,0,9,0,0,0,1,0,0,0,0,0
hsa-mir-548at_mature,8,0,31,14,0,0,0,0,3,0,0,0
hsa-let-7a-1_stemloop,0,0,31,0,0,0,0,50,5,0,0,0
hsa-mir-1276_unannotated,33,0,0,11,0,0,0,0,7,0,0,0
hsa-mir-7973-2_mature,0,0,25,0,0,63,0,33,8,0,0,0
hsa-mir-494_mature,21,103,112,44,25,25,0,36,37,48,0,27
hsa-mir-132_stemloop,0,0,0,0,0,0,0,0,5,0,0,0
hsa-mir-1284_mature,392,129,567,562,0,500,35,1006,455,144,0,56
hsa-mir-4661_mature,88,1,103,37,0,16,0,31,81,12,46,5
hsa-mir-549a_mature,162,0,58,19,34,180,0,70,14,0,75,11
hsa-mir-19b-1_mature,13,133,2885,1644,380,2419,190,2549,2201,128,101,115
hsa-mir-4757_mature,10,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-151a_mature,1284,2,2556,1341,62,2043,48,1036,2001,43,35,78
hsa-mir-3164_mature,0,0,1,24,0,0,20,0,0,0,0,0
hsa-mir-3679_mature,314,322,439,746,124,708,56,431,256,60,175,108
hsa-mir-6776_mature,6,0,14,0,0,10,0,0,0,0,53,0
hsa-mir-664b_mature,11,0,20,9,0,55,0,37,29,0,0,0
hsa-mir-889_mature,6,0,4,12,0,69,34,14,10,0,0,0
hsa-mir-3923_unannotated,6,0,0,0,0,0,0,0,5,0,0,0
hsa-let-7f-1_mature,5203,445,11860,22,430,6266,318,4852,7982,192,377,293
hsa-mir-765_mature,10,0,57,16,0,0,0,32,22,0,0,0
hsa-mir-7854_unannotated,0,7,0,0,0,28,0,0,4,0,0,0
hsa-mir-651_mature,909,150,1246,1206,46,1249,85,1782,1186,43,64,220
hsa-let-7g_mature,25,2811,122156,5,3044,105008,3,14,15,2196,4706,3749
hsa-mir-526b_mature,6,0,0,2,0,16,0,38,5,0,0,0
hsa-mir-6727_mature,6,0,0,18,24,26,0,7,14,0,0,0
hsa-mir-3138_unannotated,0,0,0,18,42,0,0,0,3,0,0,0
hsa-mir-4724_mature,19,0,42,9,0,55,0,113,83,29,0,0
hsa-mir-12136_mature,2958,1040,4459,4306,878,4997,638,5516,3953,574,717,1022
hsa-mir-4638_mature,10,0,0,15,0,0,0,86,2,0,0,0
hsa-mir-600_unannotated,8,0,11,0,0,0,7,0,0,0,0,0
hsa-mir-339_mature,3047,160,4744,5019,220,5625,170,7211,4215,223,746,346
hsa-mir-1293_mature,11,0,0,11,17,19,0,55,23,0,0,0
hsa-mir-4634_unannotated,0,0,0,0,0,3,0,0,0,0,0,0
hsa-mir-2276_mature,5,0,49,11,0,21,0,58,11,0,0,0
hsa-mir-1247_mature,0,0,0,0,0,0,7,0,0,0,0,0
hsa-mir-612_mature,0,0,0,0,0,0,0,30,0,0,0,0
hsa-mir-135b_mature,58,162,37,2,123,109,120,50,19,12,14,7
hsa-mir-6868_mature,16,0,30,11,0,40,0,78,17,0,0,0
hsa-mir-4755_mature,42,8,42,12,18,82,25,46,22,19,15,19
hsa-mir-370_mature,14,0,0,0,0,8,0,0,2,0,0,0
hsa-mir-5580_mature,6,0,40,14,0,0,0,0,1,0,0,0
hsa-mir-3181_mature,1,0,0,12,0,22,0,0,0,0,0,0
hsa-mir-4737_unannotated,3,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-196a-2_mature,277,2,529,201,11,464,9,510,278,0,3,2
hsa-mir-671_mature,96,219,58,124,82,95,58,327,71,32,58,59
hsa-mir-378i_mature,1,0,1,0,0,1,0,0,0,0,0,0
hsa-mir-4668_mature,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-4520-1_mature,9,0,7,33,0,3,47,4,48,0,0,5
hsa-mir-3928_mature,172,0,23,148,0,69,0,356,75,0,36,31
hsa-mir-323b_mature,0,0,3,0,0,0,0,29,4,0,0,0
hsa-mir-624_mature,184,0,6,297,24,1,0,12,3,11,0,90
hsa-mir-4515_unannotated,0,0,4,0,0,0,0,0,0,0,0,0
hsa-mir-6823_mature,0,0,0,0,0,0,0,69,0,0,0,0
hsa-mir-642b_mature,4,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-374a_precursor,0,0,0,0,0,24,0,0,0,0,0,0
hsa-mir-3155a_unannotated,0,0,0,0,0,0,0,0,5,0,0,0
hsa-mir-6789_mature,1,0,15,0,46,22,0,0,6,0,14,4
hsa-mir-6780b_mature,18,0,21,0,0,10,0,22,11,0,0,0
hsa-mir-372_mature,150,0,135,89,0,240,0,174,97,0,0,0
hsa-mir-1283-2_mature,0,0,0,5,0,0,0,9,0,8,0,0
hsa-mir-10397_mature,0,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-503_mature,4,0,0,0,0,0,0,45,0,0,0,0
hsa-mir-6767_mature,7,0,26,32,1,0,0,50,2,0,58,0
hsa-mir-6826_mature,0,0,1,0,16,42,0,70,6,0,0,0
hsa-mir-4658_mature,21,0,0,0,0,0,0,45,21,0,0,0
hsa-mir-3065_mature,8,0,11,101,0,49,0,191,5,0,0,0
hsa-mir-149_mature,737,79,854,3,228,1448,80,1592,758,312,167,164
hsa-mir-200b_mature,1121,46,1599,1295,124,2104,75,2226,1371,57,103,183
hsa-mir-181c_mature,6,1,9,85,0,143,15,33,1,25,0,7
hsa-mir-3651_unannotated,6,0,0,0,0,8,0,0,1,0,0,0
hsa-mir-6786_mature,1,0,3,147,70,55,0,47,26,0,0,16
hsa-mir-6848_mature,12,0,0,0,0,29,0,0,0,0,0,35
hsa-mir-6835_mature,20,0,0,30,0,0,0,0,0,0,0,0
hsa-mir-4728_mature,14,5,86,12,0,148,26,10,7,0,0,0
hsa-mir-7702_mature,0,0,0,0,0,34,0,0,0,0,0,0
hsa-mir-6872_mature,0,0,22,0,0,0,0,0,0,0,0,0
hsa-mir-103a-2_precursor,3,25,39,68,0,70,0,38,36,0,71,0
hsa-mir-3622a_mature,0,0,6,0,0,16,0,14,0,0,0,0
hsa-mir-4726_mature,34,0,13,22,0,14,0,23,20,0,0,0
hsa-mir-133a-1_mature,13,0,28,51,19,26,0,17,11,0,0,0
hsa-mir-126_mature,39,19,23,11,69,25,0,18,12,26,0,29
hsa-mir-6796_mature,0,0,0,59,0,0,0,0,8,0,0,4
hsa-mir-550a-1_mature,2,4,20,15,3,37,15,35,18,1,35,50
hsa-mir-3912_precursor,8,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-33a_mature,22,0,82,29,39,26,0,26,87,0,1,1
hsa-mir-125b-1_mature,4,19,40,81,6,99,14,211,12,18,37,0
hsa-mir-3925_mature,10,0,17,7,0,15,0,65,13,0,1,0
hsa-mir-874_mature,7,0,11,39,0,6,0,13,4,9,0,0
hsa-mir-4639_mature,0,0,0,0,0,0,0,0,8,0,0,0
hsa-mir-1225_mature,7,4,21,136,71,44,0,0,4,0,0,0
hsa-mir-4754_mature,0,0,3,0,0,0,0,0,10,0,0,0
hsa-mir-320d-2_mature,51,14,48,127,7,121,16,121,68,9,17,1
hsa-mir-130a_mature,338,91,376,488,112,763,23,881,436,6,88,45
hsa-mir-361_mature,3836,300,5558,5623,72,5686,226,7280,3722,323,249,286
hsa-let-7a-2_mature,5696,347,11971,5525,416,5932,337,5616,7687,232,468,314
hsa-mir-153-1_mature,0,0,3,0,0,0,0,0,4,0,0,0
hsa-mir-2355_mature,30,5,132,54,35,88,1,105,33,14,0,27
hsa-mir-6509_mature,10,0,7,25,0,0,12,34,4,0,55,0
hsa-mir-572_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-4743_mature,0,0,27,15,20,0,0,12,15,0,0,0
hsa-mir-26b_precursor,0,0,6,0,0,0,0,0,0,0,0,0
hsa-mir-32_mature,354,1,350,410,31,595,31,668,478,38,63,21
hsa-mir-744_mature,439,23,504,416,106,683,81,694,485,1,181,54
hsa-mir-6886_mature,19,0,2,0,0,9,0,0,18,26,0,0
hsa-mir-6788_mature,6,0,8,35,0,8,37,35,4,49,0,8
hsa-mir-190b_mature,165,0,184,239,0,316,29,433,266,47,54,0
hsa-mir-3913-1_mature,11,4,12,4,0,0,0,0,19,0,0,0
hsa-mir-592_mature,3,0,0,6,0,6,0,9,0,0,0,0
hsa-mir-487a_mature,0,0,16,0,0,0,0,0,0,0,0,0
hsa-mir-4497_mature,0,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-219a-2_mature,0,0,2,0,0,0,0,0,0,0,33,0
hsa-mir-4753_mature,16,0,6,31,70,37,0,0,5,0,31,37
hsa-mir-425_mature,1086,251,1637,1494,190,2426,90,2693,1518,153,383,106
hsa-mir-3654_mature,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-1292_mature,1506,368,2534,30,477,3,240,3538,1588,311,277,299
hsa-mir-1283-2_unannotated,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-3689e_mature,0,0,0,0,0,0,0,4,0,0,0,0
hsa-mir-320e_mature,11,0,14,5,0,8,0,14,15,0,0,0
hsa-mir-6834_mature,0,0,4,0,0,9,0,0,0,0,0,0
hsa-mir-6845_mature,0,0,23,0,0,24,0,0,1,0,0,0
hsa-mir-1226_stemloop,0,0,3,0,0,0,0,0,0,0,0,0
hsa-mir-6747_mature,45,0,91,63,0,51,0,131,32,42,0,27
hsa-mir-524_mature,2,10,0,0,0,0,0,6,0,0,0,0
hsa-mir-1248_mature,0,0,9,0,0,0,0,0,0,0,0,0
hsa-mir-3138_mature,81,0,123,201,18,266,0,421,150,0,10,19
hsa-mir-95_mature,37,0,53,13,1,67,0,67,63,94,0,10
hsa-mir-4699_mature,58,41,80,68,12,98,141,134,22,21,27,53
hsa-mir-221_mature,350,101,671,400,4087,520,6,455,474,51,7732,14
hsa-mir-3680-2_mature,3,0,3,1,0,11,0,5,1,9,12,0
hsa-mir-559_mature,0,0,35,0,0,0,0,0,0,0,0,0
hsa-mir-514a-1_mature,0,0,0,0,0,0,0,11,0,0,0,0
hsa-mir-6779_mature,0,0,0,0,1,0,0,10,0,0,71,0
hsa-mir-26a-1_mature,25514,322,48523,19446,359,29527,451,10,1,405,474,1136
hsa-mir-4764_mature,4,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4749_mature,7,0,30,24,40,20,29,21,21,0,0,0
hsa-mir-4741_mature,0,0,3,0,26,0,0,0,2,0,0,0
hsa-mir-660_mature,2119,114,57,32,252,17,247,25,66,388,355,422
hsa-mir-27a_mature,62,1,180,94,0,215,0,339,102,0,0,0
hsa-mir-4523_mature,0,0,9,0,0,0,0,0,0,0,0,0
hsa-mir-466_mature,15,0,0,64,0,50,5,98,29,0,33,11
hsa-mir-4679-2_mature,0,0,0,0,0,15,0,0,0,0,0,0
hsa-mir-3936_mature,0,0,0,0,0,0,0,0,9,0,0,0
hsa-mir-3912_mature,46,104,91,32,0,86,0,163,102,44,69,41
hsa-mir-3170_unannotated,28,0,77,120,50,36,47,57,71,0,0,0
hsa-mir-520a_mature,12,0,1,0,0,8,0,0,17,0,0,0
hsa-mir-4795_mature,11,0,5,0,0,0,0,0,0,0,0,0
hsa-mir-424_mature,4,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-4645_mature,20,0,43,50,0,0,0,84,0,0,0,10
hsa-mir-4635_mature,0,0,24,20,0,0,0,26,17,0,0,0
hsa-mir-450a-2_mature,4,3,20,0,0,22,0,0,4,0,0,0
hsa-mir-92b_mature,11,255,359,56,446,54,294,94,41,420,17,337
hsa-mir-505_mature,194,158,265,383,29,324,22,343,228,34,553,474
hsa-mir-132_mature,19,84,62,69,96,475,0,80,35,18,103,50
hsa-mir-9-1_mature,28,12,72,71,16,31,0,48,46,21,0,21
hsa-mir-6792_mature,0,0,0,0,0,36,0,0,6,0,0,0
hsa-mir-3140_mature,17,0,33,29,0,90,5,229,36,14,0,41
hsa-mir-128-2_mature,42735,10766,49014,69811,11649,67470,8513,101345,44556,9521,16897,11844
hsa-mir-342_mature,303,53,445,311,25,483,79,613,512,69,1309,1111
hsa-mir-589_mature,46,233,64,84,86,71,115,181,116,88,199,31
hsa-mir-193b_mature,1465,665,1813,3220,730,2781,618,3879,1216,455,1169,395
hsa-mir-6867_mature,0,0,0,0,0,32,0,17,25,0,0,0
hsa-mir-4646_mature,10,0,3,75,0,0,0,0,2,0,0,0
hsa-mir-6836_mature,0,0,0,0,0,0,0,0,5,0,0,0
hsa-mir-3189_mature,27,0,7,109,0,95,0,16,84,0,0,67
hsa-mir-451a_mature,137,134,81,46,171,276,59,182,128,38,116,151
hsa-mir-6508_mature,0,0,12,0,0,29,0,6,0,0,0,21
hsa-mir-6511b-2_mature,46,59,16,77,67,95,14,95,40,17,70,36
hsa-mir-1278_unannotated,0,0,0,0,0,15,0,0,9,0,0,0
hsa-mir-658_mature,0,0,0,0,0,1,0,0,0,0,0,1
hsa-mir-2115_mature,5,0,8,0,0,0,0,22,2,0,0,0
hsa-mir-8072_mature,0,59,7,23,0,0,0,40,10,0,0,0
hsa-mir-3614_mature,0,0,6,32,0,0,0,11,29,0,0,0
hsa-mir-4504_mature,0,0,15,0,0,0,0,64,4,0,0,0
hsa-mir-4676_mature,12,25,9,19,0,1,0,63,44,0,0,10
hsa-mir-6842_mature,9,0,0,38,0,0,0,45,12,0,0,0
hsa-mir-548h-5_unannotated,0,0,2,15,0,0,0,0,4,0,0,0
hsa-mir-15b_mature,217,49,392,73,31,414,15,470,315,128,58,34
hsa-mir-550a-3_mature,4,9,17,21,10,5,0,15,23,0,0,0
hsa-mir-548az_mature,3,0,3,0,0,0,0,0,0,0,0,0
hsa-mir-6849_mature,4,0,0,7,0,25,1,0,0,0,0,0
hsa-mir-5094_unannotated,0,0,0,0,0,3,0,28,1,0,0,0
hsa-mir-4747_mature,6,0,12,0,0,0,0,1,5,0,0,0
hsa-mir-421_mature,10065,852,12596,14167,934,15352,737,22176,12434,821,1002,995
hsa-let-7d_mature,832,150,1573,1213,455,1258,28,708,1025,7,1,42
hsa-mir-139_mature,17,81,7,55,21,78,0,69,4,0,0,42
hsa-mir-1914_mature,127,19,22,385,40,11,13,14,15,1,142,71
hsa-mir-29c_mature,11,0,119,0,172,82,144,127,69,122,50,134
hsa-mir-6824_mature,0,0,18,0,0,0,9,17,0,0,0,0
hsa-mir-4640_mature,0,0,0,28,0,0,12,0,0,0,0,0
hsa-mir-7-3_unannotated,0,0,0,0,0,0,0,34,0,0,0,0
hsa-mir-3144_mature,182,0,208,337,273,109,14,296,80,6,15,67
hsa-mir-6734_mature,49,74,97,231,18,94,9,240,3,0,49,0
hsa-mir-4797_mature,0,0,14,41,0,0,0,55,10,0,0,0
hsa-mir-1285-1_mature,0,0,0,0,0,0,0,0,4,0,0,0
hsa-mir-4731_mature,0,0,5,3,0,0,0,0,0,0,0,0
hsa-mir-6800_mature,0,0,0,25,0,10,11,22,3,0,0,0
hsa-mir-5690_mature,6,0,0,0,0,0,0,29,3,0,0,0
hsa-mir-141_mature,14,0,16,28,0,0,0,34,6,0,0,0
hsa-mir-6853_mature,0,0,0,0,0,0,0,72,0,0,0,0
hsa-mir-5703_mature,0,0,0,9,0,0,0,0,0,0,0,0
hsa-mir-6813_mature,5,0,0,51,0,17,0,0,4,14,0,0
hsa-mir-454_mature,819,0,970,1115,46,979,24,1438,727,37,37,44
hsa-mir-935_mature,0,0,0,0,0,18,0,0,0,0,0,0
hsa-mir-6828_mature,0,0,0,4,0,0,0,0,0,0,0,0
hsa-mir-212_mature,4,0,45,59,0,24,0,188,27,0,0,0
hsa-mir-3199-2_mature,0,0,15,1,0,0,0,1,23,0,0,0
hsa-mir-1256_mature,11,0,2,0,0,0,0,0,3,0,0,0
hsa-mir-654_mature,37,0,51,15,46,18,0,49,78,0,0,0
hsa-mir-409_mature,42,67,60,54,33,79,0,24,38,83,0,0
hsa-mir-548n_precursor,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-545_mature,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-484_mature,28023,8183,38963,59673,6694,55676,4637,74339,37403,4402,10873,5176
hsa-mir-4714_mature,4,0,0,38,0,0,0,0,0,0,0,0
hsa-mir-3936_unannotated,0,0,24,0,0,0,0,0,0,0,0,0
hsa-mir-429_mature,14968,692,20896,17574,644,19685,634,29895,20402,876,1209,950
hsa-mir-1251_mature,3,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6750_mature,0,0,7,0,0,0,0,0,0,0,0,0
hsa-mir-3116-1_unannotated,0,0,0,0,0,0,0,0,8,0,0,0
hsa-mir-5582_mature,2,0,0,23,0,0,0,0,6,0,7,0
hsa-mir-6782_mature,0,0,0,24,0,0,0,25,0,0,0,0
hsa-mir-6764_mature,36,0,15,18,0,14,0,131,7,0,0,0
hsa-mir-5187_mature,9,0,19,52,0,19,0,7,10,18,0,0
hsa-mir-1227_mature,0,0,0,15,0,0,0,0,0,0,0,0
hsa-mir-512-2_mature,9,11,3,36,0,33,10,11,46,0,24,4
hsa-mir-124-1_mature,4,12,3,9,0,0,0,3,2,0,0,0
hsa-mir-656_mature,0,0,0,14,0,0,0,10,0,0,0,0
hsa-mir-3646_unannotated,0,0,0,0,0,58,0,0,0,0,0,0
hsa-mir-199a-2_mature,0,0,0,0,0,4,0,0,0,0,0,0
hsa-mir-1250_mature,752,8,494,1045,31,1098,92,1438,985,68,135,94
hsa-mir-301b_mature,12,0,49,93,19,180,38,112,22,0,0,22
hsa-mir-3176_mature,47,30,25,64,0,56,0,40,23,0,84,20
hsa-mir-6735_mature,46,0,45,63,23,14,0,38,38,29,49,23
hsa-mir-499a_mature,110,0,60,165,47,238,13,364,124,50,72,39
hsa-mir-1255a_mature,4,0,29,26,0,0,0,17,4,0,0,0
hsa-mir-4326_unannotated,0,0,67,9,0,95,16,90,24,18,0,0
hsa-mir-1179_mature,0,0,0,0,0,0,0,0,4,0,0,0
hsa-mir-18b_mature,0,0,0,0,0,0,0,0,0,2,0,0
hsa-mir-3192_mature,31,0,0,0,0,29,0,25,13,0,0,0
hsa-mir-99a_mature,20,37,42,0,23,70,0,0,0,15,30,27
hsa-mir-1228_mature,30,45,19,17,66,56,9,22,22,104,58,19
hsa-mir-6746_mature,0,0,0,9,0,0,0,0,2,0,2,0
hsa-mir-365a_mature,322,154,490,498,0,630,41,747,354,106,24,59
hsa-mir-144_mature,0,31,0,0,0,0,0,27,6,0,0,41
hsa-mir-943_unannotated,0,0,0,0,0,0,0,71,0,0,0,0
hsa-mir-3941_mature,0,0,16,21,0,3,0,61,30,0,0,0
hsa-mir-6873_mature,16,0,22,9,17,4,30,27,25,0,0,0
hsa-mir-373_mature,0,0,21,0,0,6,0,0,0,0,0,0
hsa-mir-378d-2_mature,8,0,0,0,0,0,0,4,3,0,0,7
hsa-mir-6794_mature,0,0,0,0,0,10,0,0,0,0,0,0
hsa-mir-3923_mature,0,0,11,0,0,0,0,0,0,0,0,0
hsa-mir-6772_mature,3,0,0,34,0,0,0,0,2,0,0,0
hsa-mir-127_mature,0,0,7,0,0,0,38,0,17,0,0,15
hsa-mir-1278_mature,18,0,35,12,0,49,0,9,9,0,0,0
hsa-mir-22_mature,916,2455,1971,1779,53,1607,82,1714,1353,54,10,92
hsa-mir-5094_mature,178,0,175,234,17,170,0,283,86,24,0,0
hsa-mir-3691_mature,44,58,24,20,40,6,67,106,14,1,122,118
hsa-mir-106b_mature,7868,326,12198,10580,328,13877,233,17672,11899,114,266,669
hsa-mir-6761_mature,20,31,0,14,4,32,0,73,5,0,0,0
hsa-mir-4804_mature,0,0,11,40,0,40,0,23,9,56,0,0
hsa-mir-432_mature,0,0,1,0,0,14,0,20,42,0,0,13
hsa-mir-1909_mature,13,0,7,19,0,26,15,8,11,0,0,0
hsa-mir-1843_mature,415,1,552,651,1,672,5,848,550,7,0,31
hsa-mir-192_mature,177,1,184,156,0,462,3,634,228,0,0,0
hsa-mir-320d-1_mature,34,25,121,204,11,151,18,141,103,49,17,3
hsa-mir-30c-2_mature,6,445,0,0,684,0,0,0,0,486,0,762
hsa-mir-194-1_mature,11002,1332,14081,14116,1177,16876,1050,23546,14494,901,1423,1401
hsa-mir-375_mature,984,87,1271,1265,159,1533,206,2377,1129,214,168,123
hsa-mir-6717_mature,0,0,0,14,0,0,0,0,0,0,0,0
hsa-mir-6787_mature,7,1,26,20,11,26,1,6,1,0,19,28
hsa-mir-513a-2_mature,4,0,2,0,0,0,0,6,0,0,0,0
hsa-mir-6839_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-365b_mature,0,0,5,25,0,0,71,0,4,0,0,0
hsa-mir-1306_mature,119,206,179,191,1,245,234,279,48,20,82,33
hsa-mir-181d_mature,202,43,5,175,1,164,0,406,282,0,24,35
hsa-mir-4647_mature,27,0,66,94,0,35,0,30,20,0,0,0
hsa-mir-5581_mature,16,0,6,66,0,4,0,0,8,0,0,0
hsa-mir-561_mature,2,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-548ac_mature,0,0,6,0,0,9,0,24,0,0,1,0
hsa-mir-6806_mature,0,0,0,0,0,55,0,12,10,0,0,0
hsa-mir-7155_mature,0,0,0,0,0,13,0,0,0,0,0,0
hsa-mir-7703_mature,42,0,15,16,0,1,0,0,11,0,0,0
hsa-mir-641_unannotated,49,0,45,90,0,261,0,24,82,0,0,0
hsa-mir-618_mature,668,0,974,604,0,1138,0,1000,665,15,28,96
hsa-mir-1285-2_mature,0,0,0,0,0,0,0,0,0,0,19,0
hsa-mir-4762_mature,8,20,20,3,39,4,0,30,13,0,55,0
hsa-mir-299_mature,0,0,0,25,0,0,0,0,1,0,0,0
hsa-mir-18a_mature,779,75,998,1293,217,1273,79,2084,890,143,236,322
hsa-mir-19a_mature,742,110,1696,1517,72,1159,26,1699,1194,236,93,294
hsa-mir-514a-3_mature,0,0,0,0,0,0,0,8,0,0,0,0
hsa-mir-6876_mature,3,0,125,1,0,87,0,2,73,0,0,0
hsa-mir-516b-2_mature,2,0,7,0,0,0,0,0,1,0,0,0
hsa-mir-499b_mature,7,0,0,20,0,0,0,0,8,0,0,0
hsa-mir-203a_mature,50,283,78,177,117,133,46,156,336,123,74,40
hsa-mir-486-1_mature,47,1,52,8,11,15,14,13,5,21,17,57
hsa-mir-513c_mature,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-4644_mature,10,0,16,34,0,71,0,174,30,0,0,47
hsa-mir-4511_unannotated,0,0,0,13,0,0,0,0,0,0,0,0
hsa-mir-5583-1_mature,0,0,0,19,0,0,0,0,0,0,0,0
hsa-mir-328_mature,435,287,577,1066,598,831,660,18,362,485,942,742
hsa-mir-5584_mature,0,0,0,0,0,0,0,32,3,0,0,0
hsa-mir-3074_mature,19,0,11,57,0,510,76,50,31,0,1,26
hsa-mir-4756_mature,3,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4479_unannotated,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-1260b_mature,333,145,541,415,49,471,6,821,474,68,74,86
hsa-mir-26a-1_precursor,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-3199-1_unannotated,0,0,0,41,0,0,0,26,0,0,0,16
hsa-mir-6798_mature,0,0,0,0,0,0,21,0,0,0,0,0
hsa-mir-2277_mature,21,0,6,52,0,16,0,87,8,0,3,0
hsa-mir-20a_mature,21,296,41,64,607,61,325,58,28,338,277,473
hsa-mir-1289-1_unannotated,10,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6832_mature,0,0,35,11,0,0,0,0,0,0,0,0
hsa-mir-513a-1_mature,6,0,6,0,0,0,0,6,0,0,0,0
hsa-mir-4662a_mature,6,29,159,77,15,118,9,160,100,12,0,15
hsa-mir-378d-1_mature,9,0,0,0,0,0,0,3,1,0,0,9
hsa-mir-548l_unannotated,0,0,0,0,0,10,0,18,0,0,0,0
hsa-mir-6778_mature,0,0,0,0,0,10,0,0,0,0,0,0
hsa-mir-4739_unannotated,0,0,12,0,0,0,0,0,0,0,0,0
hsa-mir-188_mature,11,0,5,22,11,105,24,140,6,0,0,23
hsa-mir-24-2_mature,387,33,518,397,19190,650,25,649,510,103,4,29
hsa-mir-5009_mature,0,0,68,0,0,0,0,0,11,0,0,0
hsa-mir-4779_mature,0,0,6,34,0,5,0,106,0,12,0,0
hsa-mir-1298_mature,0,0,0,34,0,0,0,0,0,0,0,0
hsa-mir-6769a_mature,1,0,8,16,0,0,0,0,0,6,0,0
hsa-mir-3137_mature,0,0,0,0,0,0,0,0,2,0,0,0
hsa-mir-3157_mature,14,0,6,3,0,19,0,93,3,22,0,0
hsa-mir-6816_mature,35,0,28,43,43,43,0,18,5,0,0,15
hsa-mir-6715a_unannotated,28,0,65,0,0,46,44,6,36,0,6,0
hsa-mir-1301_precursor,0,0,0,0,0,0,0,10,0,0,0,0
hsa-mir-335_mature,1861,1,2165,1946,61,2363,46,3164,1849,61,54,219
hsa-mir-3939_unannotated,24,0,0,6,0,0,0,39,0,0,0,0
hsa-mir-586_mature,0,0,0,19,0,13,0,0,0,0,0,0
hsa-mir-6726_mature,0,2,0,13,6,16,0,0,3,21,0,16
hsa-mir-548u_mature,0,0,0,0,0,23,0,0,0,0,0,0
hsa-mir-655_mature,28,0,13,0,0,48,0,0,28,0,0,0
hsa-mir-379_mature,8,0,27,24,7,14,0,84,1,87,0,24
hsa-mir-3143_unannotated,3,0,10,0,0,38,0,0,0,0,0,0
hsa-mir-128-1_mature,51,11236,162,91,11959,80474,9122,169,80,13,17886,30
hsa-mir-4739_mature,7,0,0,0,0,23,0,0,0,0,0,0
hsa-mir-6890_mature,0,0,6,15,0,0,0,29,0,0,0,0
hsa-mir-4742_mature,20,0,41,65,0,50,16,54,9,76,27,0
hsa-mir-6126_mature,0,0,1,1,0,0,0,0,0,0,0,0
hsa-mir-761_mature,0,0,0,23,0,0,0,0,0,0,0,0
hsa-mir-6759_mature,0,0,0,0,0,18,0,15,9,0,0,0
hsa-mir-4491_mature,0,0,0,31,0,0,0,0,0,0,0,0
hsa-mir-3191_mature,0,0,0,8,0,35,0,0,16,0,0,0
hsa-mir-3149_mature,22,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1976_mature,10,0,20,21,0,35,0,1,9,0,0,0
hsa-mir-3165_mature,0,0,41,6,0,9,0,0,0,0,0,0
hsa-mir-516a-2_mature,21,31,29,53,0,34,0,76,29,0,0,0
hsa-mir-6791_mature,3,0,15,65,0,2,7,14,8,0,0,0
hsa-mir-202_mature,13,0,4,40,24,0,0,13,3,0,0,0
hsa-mir-10b_mature,35,225,2863,90,605,10,327,3282,6,273,94,253
hsa-mir-3154_mature,2,0,0,8,33,28,0,46,28,0,80,0
hsa-mir-9-2_mature,32,1,61,59,18,42,2,51,35,17,0,12
hsa-mir-556_mature,135,36,158,74,57,164,45,195,179,121,59,108
