miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-6754_mature,0,0,0,1,34,5,0,20,0,0,0,12
hsa-mir-197_mature,45,2,36,54,2772,34,25,12,21,1987,40,2262
hsa-mir-330_mature,20,158,32,66,178,120,117,170,71,178,377,187
hsa-mir-450b_mature,69,0,85,100,64,141,18,117,91,0,0,17
hsa-mir-4525_mature,4,68,36,73,15,25,28,9,9,0,0,55
hsa-mir-193a_mature,1164,487,21,31,451,2399,6,10,9,489,912,714
hsa-mir-6865_mature,0,0,21,14,0,21,0,0,0,0,74,0
hsa-mir-425_precursor,0,0,5,0,0,0,0,0,0,0,0,0
hsa-mir-24-1_mature,216,2,385,176,19309,253,17281,659,372,33,4,27524
hsa-mir-766_mature,106,0,226,138,26,247,27,90,153,29,1,1
hsa-mir-1976_unannotated,0,0,0,0,0,0,0,0,20,0,0,0
hsa-mir-6862-2_mature,42,0,87,74,0,36,5,167,37,19,34,24
hsa-mir-769_mature,16,40,67,59,152,56,127,76,38,122,141,10
hsa-mir-3158-2_mature,80,67,119,96,19,151,8,16,118,32,100,72
hsa-mir-4660_mature,38,0,0,21,0,61,0,20,66,0,0,0
hsa-mir-6514_mature,48,0,122,151,52,80,18,171,90,0,10,75
hsa-mir-105-1_mature,13,0,2,0,0,54,0,7,12,0,10,0
hsa-mir-6894_precursor,0,0,0,32,0,0,0,0,0,0,0,28
hsa-mir-4466_mature,0,0,0,10,0,0,0,0,0,0,0,0
hsa-mir-641_mature,114,0,197,197,42,314,0,152,214,0,0,0
hsa-mir-3609_mature,45,0,14,32,0,0,13,24,6,0,0,0
hsa-mir-1294_mature,53,0,0,0,0,0,0,29,14,0,0,0
hsa-mir-92a-1_precursor,0,0,0,0,0,0,0,0,0,0,0,18
hsa-mir-6729_mature,0,0,0,0,0,0,0,0,5,0,0,6
hsa-mir-7973-1_unannotated,3,0,0,7,0,0,0,0,0,0,0,0
hsa-mir-877_mature,6251,26,8,10,93,46,11,70,23,35,36,14
hsa-mir-7114_mature,18,0,27,67,0,23,11,0,27,0,0,13
hsa-mir-103a-1_mature,3,0,9,0,0,0,0,0,7,0,0,0
hsa-mir-4700_mature,22,0,0,38,0,0,0,35,0,0,0,0
hsa-mir-6857_mature,0,0,0,0,0,0,17,0,3,0,0,0
hsa-mir-27a_precursor,7,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-100_mature,215,159,226,0,274,298,0,0,0,24,223,112
hsa-mir-3918_mature,9,0,5,58,0,0,0,0,6,0,0,2
hsa-mir-30c-1_mature,52,430,33,23,680,17,0,12,25,524,0,5
hsa-mir-1269a_mature,215,0,511,434,0,266,0,396,451,0,62,14
hsa-mir-6721_mature,0,0,38,0,0,0,0,30,0,0,0,0
hsa-mir-3177_mature,21,100,14,20,158,1480,113,67,9,99,110,146
hsa-mir-483_mature,12016,33235,23435,20558,34278,23588,29315,21297,15732,34731,53141,34185
hsa-mir-4712_mature,0,0,0,0,0,0,0,16,0,0,0,0
hsa-mir-4637_mature,6,0,0,0,0,19,0,0,14,0,0,0
hsa-mir-6799_mature,0,0,0,18,0,0,0,0,0,0,0,0
hsa-mir-9-3_mature,24,16,63,68,18,27,2,52,42,21,0,12
hsa-mir-6739_mature,6,0,18,0,33,9,0,75,18,0,0,1
hsa-mir-6871_mature,1,0,6,33,0,5,0,20,5,0,0,29
hsa-mir-6837_mature,0,0,0,27,0,0,0,0,0,0,0,0
hsa-mir-187_mature,8,0,18,3,0,50,0,0,33,0,0,0
hsa-mir-194-2_mature,384,66,659,537,1311,391,1122,667,642,51,59,196
hsa-mir-3148_mature,7,0,8,12,0,56,0,50,36,0,0,0
hsa-mir-4446_mature,7,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-148a_mature,2980,203,4428,3762,262,5344,282,6627,4363,112,386,337
hsa-mir-6833_mature,17,0,2,0,0,0,48,31,2,0,0,21
hsa-mir-581_mature,0,0,0,40,0,19,0,0,0,0,0,0
hsa-mir-3187_mature,3,54,12,127,104,310,12,357,99,21,91,0
hsa-mir-382_mature,44,0,24,18,27,80,0,78,16,0,139,0
hsa-mir-6738_mature,6,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4443_mature,2,0,9,6,0,0,0,9,11,0,0,0
hsa-mir-6866_mature,54,0,23,158,0,134,17,142,26,0,0,0
hsa-mir-519b_mature,0,0,0,0,0,29,0,0,0,0,0,0
hsa-mir-602_mature,4,0,0,0,16,0,0,19,9,0,0,0
hsa-mir-1289-2_mature,1,0,8,0,0,0,0,5,10,0,0,0
hsa-mir-376a-1_mature,15,1,0,0,10,0,19,38,18,0,0,0
hsa-mir-6742_mature,1,0,0,0,0,0,0,0,16,0,0,0
hsa-mir-196b_mature,11,0,23,33,0,0,0,0,12,0,0,0
hsa-mir-6892_mature,0,0,9,0,0,0,0,0,0,0,39,0
hsa-mir-5696_unannotated,72,0,24,5,0,90,0,36,11,0,0,0
hsa-mir-143_mature,22,1728,21835,18484,1899,22534,1184,36342,12,1203,1481,1776
hsa-mir-7976_mature,36,0,88,46,0,15,0,46,99,0,0,0
hsa-mir-4653_mature,0,0,0,3,0,0,0,0,4,0,0,40
hsa-mir-6730_mature,22,0,22,37,0,80,0,46,13,0,0,0
hsa-mir-4717_mature,3,41,0,48,0,0,0,13,9,0,0,0
hsa-mir-182_mature,109,57,219,201,19,84,1867,91,130,1608,2754,19
hsa-mir-6847_mature,13,0,43,0,0,21,0,0,8,0,0,0
hsa-mir-497_mature,13,0,0,14,4,23,0,0,30,0,0,0
hsa-mir-548ab_mature,0,0,2,0,0,0,0,0,4,0,0,0
hsa-mir-412_mature,0,19,0,0,0,5,0,0,0,0,0,7
hsa-mir-4424_mature,16,20,9,0,0,0,0,0,0,0,0,0
hsa-mir-4444-1_mature,0,0,0,0,0,5,0,3,0,0,0,0
