miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-376a-1_mature,10,0,0,15,38,0,0,1,19,0,0,18
hsa-mir-376a-2_mature,8,0,0,12,42,0,0,0,8,0,0,14
hsa-mir-376c_mature,0,40,0,17,0,40,0,0,0,16,8,20
hsa-mir-378a_mature,752,541,1166,69,234,103,781,853,686,68,7364,108
hsa-mir-378c_mature,0,0,0,6,14,22,0,0,0,25,0,9
hsa-mir-378d-1_mature,0,0,0,9,3,0,9,0,0,0,0,1
hsa-mir-378d-2_mature,0,0,0,8,4,0,7,0,0,0,0,3
hsa-mir-378i_mature,0,0,0,1,0,1,0,0,0,1,0,0
hsa-mir-379_mature,7,87,0,8,84,14,24,0,0,27,24,1
hsa-mir-381_mature,0,18,0,13,11,13,0,0,0,12,29,23
hsa-mir-382_mature,27,0,139,44,78,80,0,0,0,24,18,16
hsa-mir-3909_mature,206,102,160,696,1775,963,73,141,141,1169,915,835
hsa-mir-3909_unannotated,10,1,0,28,92,49,18,0,8,43,93,40
hsa-mir-3912_mature,0,44,69,46,163,86,41,104,0,91,32,102
hsa-mir-3913-1_mature,0,0,0,11,0,0,0,4,0,12,4,19
hsa-mir-3913-2_mature,0,0,0,11,0,0,0,3,0,28,3,15
hsa-mir-3918_mature,0,0,0,9,0,0,2,0,0,5,58,6
hsa-mir-3925_mature,0,0,1,10,65,15,0,0,0,17,7,13
hsa-mir-3928_mature,0,0,36,172,356,69,31,0,0,23,148,75
hsa-mir-3929_mature,0,0,0,125,202,125,0,71,0,217,159,194
hsa-mir-3934_mature,18,32,0,1,115,29,15,32,0,108,81,34
hsa-mir-3939_mature,0,0,8,28,80,105,0,0,0,28,14,38
hsa-mir-3939_unannotated,0,0,0,24,39,0,0,0,0,0,6,0
hsa-mir-3940_mature,0,21,0,23,66,3,13,25,1,14,27,3
hsa-mir-3941_mature,0,0,0,0,61,3,0,0,0,16,21,30
hsa-mir-3942_mature,0,0,0,18,19,19,0,1,0,31,59,40
hsa-mir-3944_mature,0,0,2,21,28,23,0,60,1,32,20,4
hsa-mir-409_mature,33,83,0,42,24,79,0,67,0,60,54,38
hsa-mir-411_mature,0,0,0,0,41,0,0,0,0,1,6,29
hsa-mir-412_mature,0,0,0,0,0,5,7,19,0,0,0,0
hsa-mir-421_mature,934,821,1002,10065,22176,15352,995,852,737,12596,14167,12434
hsa-mir-421_unannotated,0,0,0,7,0,0,0,0,0,6,0,4
hsa-mir-423_mature,36527,32525,71561,119112,266891,201728,43614,45100,28080,196097,219073,149936
hsa-mir-425_mature,190,153,383,1086,2693,2426,106,251,90,1637,1494,1518
hsa-mir-4286_mature,0,0,53,0,0,20,0,0,8,20,0,9
hsa-mir-429_mature,644,876,1209,14968,29895,19685,950,692,634,20896,17574,20402
hsa-mir-432_mature,0,0,0,0,20,14,13,0,0,1,0,42
hsa-mir-4326_mature,253,383,453,1009,1469,1919,382,44,275,1426,1623,992
hsa-mir-4326_unannotated,0,18,0,0,90,95,0,0,16,67,9,24
hsa-mir-4424_mature,0,0,0,16,0,0,0,20,0,9,0,0
hsa-mir-4424_unannotated,20,0,0,0,41,2,0,0,0,26,0,10
hsa-mir-4429_mature,0,0,0,5,7,17,0,0,0,10,8,2
hsa-mir-4435-1_mature,0,11,0,18,11,79,0,0,0,35,26,34
hsa-mir-4435-2_mature,0,7,0,18,29,62,0,0,0,41,30,33
hsa-mir-4437_mature,0,0,0,0,13,0,0,0,0,25,5,0
hsa-mir-4443_mature,0,0,0,2,9,0,0,0,0,9,6,11
hsa-mir-4449_mature,0,0,0,26,43,63,23,0,0,59,86,43
hsa-mir-4449_unannotated,0,0,0,18,53,17,0,0,0,1,34,16
hsa-mir-4457_mature,0,0,0,0,0,13,0,0,0,40,13,7
hsa-mir-4467_mature,0,0,0,32,95,68,0,8,22,77,16,67
hsa-mir-4470_mature,0,0,0,0,0,7,0,0,0,0,12,3
hsa-mir-4473_mature,0,0,107,32,98,40,21,0,0,27,10,23
hsa-mir-4473_unannotated,0,0,0,0,13,0,0,0,0,0,3,6
hsa-mir-4474_mature,0,0,0,0,61,0,0,0,0,11,17,27
hsa-mir-4479_mature,0,0,16,1,0,63,0,0,0,22,1,6
hsa-mir-4498_mature,0,0,0,32,4,76,0,0,0,24,29,31
hsa-mir-4504_mature,0,0,0,0,64,0,0,0,0,15,0,4
hsa-mir-450a-1_mature,0,0,0,3,0,10,0,3,0,0,0,4
hsa-mir-450a-2_mature,0,0,0,4,0,22,0,3,0,20,0,4
hsa-mir-450b_mature,64,0,0,69,117,141,17,0,18,85,100,91
hsa-mir-4511_mature,0,0,0,62,49,83,0,0,0,30,40,54
hsa-mir-451a_mature,171,38,116,137,182,276,151,134,59,81,46,128
hsa-mir-452_mature,408,509,832,2043,4975,3428,599,687,395,2473,2771,2410
hsa-mir-4520-1_mature,0,0,0,9,4,3,5,0,47,7,33,48
hsa-mir-4520-2_mature,40,0,0,4,5,3,2,0,0,6,22,8
hsa-mir-4525_mature,15,0,0,4,9,25,55,68,28,36,73,9
hsa-mir-4525_unannotated,0,0,0,2,21,11,0,0,0,11,8,0
hsa-mir-454_mature,46,37,37,819,1438,979,44,0,24,970,1115,727
hsa-mir-455_mature,162,216,37,3830,6509,5915,249,2,31,5667,3482,5002
hsa-mir-4635_mature,0,0,0,0,26,0,0,0,0,24,20,17
hsa-mir-4637_mature,0,0,0,6,0,19,0,0,0,0,0,14
hsa-mir-4638_mature,0,0,0,10,86,0,0,0,0,0,15,2
hsa-mir-4644_mature,0,0,0,10,174,71,47,0,0,16,34,30
hsa-mir-4645_mature,0,0,0,20,84,0,10,0,0,43,50,0
hsa-mir-4646_mature,0,0,0,10,0,0,0,0,0,3,75,2
hsa-mir-4647_mature,0,0,0,27,30,35,0,0,0,66,94,20
hsa-mir-4653_mature,0,0,0,0,0,0,40,0,0,0,3,4
hsa-mir-4654_mature,0,0,0,31,113,63,0,0,13,76,23,7
hsa-mir-4655_mature,0,0,0,9,30,45,0,0,0,14,24,32
hsa-mir-4658_mature,0,0,0,21,45,0,0,0,0,0,0,21
hsa-mir-4659a_mature,0,0,0,37,124,61,0,0,0,49,28,0
hsa-mir-466_mature,0,0,33,15,98,50,11,0,5,0,64,29
hsa-mir-466_unannotated,0,0,0,3,37,0,0,0,0,0,0,12
hsa-mir-4660_mature,0,0,0,38,20,61,0,0,0,0,21,66
hsa-mir-4661_mature,0,12,46,88,31,16,5,1,0,103,37,81
hsa-mir-4662a_mature,15,12,0,6,160,118,15,29,9,159,77,100
hsa-mir-4664_mature,48,35,101,4,14,21,7,0,25,51,101,36
hsa-mir-4665_mature,28,0,5,0,106,0,0,0,0,11,0,13
hsa-mir-4667_mature,0,19,0,18,52,88,0,0,0,23,93,34
hsa-mir-4669_mature,0,30,0,21,69,0,0,0,0,56,120,39
hsa-mir-4670_mature,0,0,0,0,39,0,11,0,0,8,0,0
hsa-mir-4676_mature,0,0,0,12,63,1,10,25,0,9,19,44
hsa-mir-4677_mature,0,0,0,0,54,1,0,0,0,15,6,47
hsa-mir-4685_mature,0,22,0,9,0,0,0,0,0,4,0,2
hsa-mir-4687_mature,0,1,0,30,2,15,9,0,0,28,17,5
hsa-mir-4688_mature,0,0,0,0,0,0,0,0,13,18,0,5
hsa-mir-4689_mature,33,40,28,27,155,23,8,63,0,31,47,29
hsa-mir-4691_mature,0,0,0,12,0,0,0,0,0,7,28,0
hsa-mir-4695_mature,0,0,132,24,35,0,18,0,48,10,43,3
hsa-mir-4699_mature,12,21,27,58,134,98,53,41,141,80,68,22
hsa-mir-4700_mature,0,0,0,22,35,0,0,0,0,0,38,0
hsa-mir-4706_mature,0,0,25,15,32,0,0,0,0,13,8,11
hsa-mir-4707_mature,72,0,37,74,120,256,0,0,0,160,183,160
hsa-mir-4709_mature,0,0,0,0,49,0,0,0,1,1,0,19
hsa-mir-4713_mature,274,21,114,99,171,144,63,65,6,1,310,67
hsa-mir-4716_mature,0,0,0,0,131,8,24,0,0,7,13,0
hsa-mir-4717_mature,0,0,0,3,13,0,0,41,0,0,48,9
hsa-mir-4721_mature,0,0,0,0,0,0,21,0,38,2,22,5
hsa-mir-4723_mature,17,0,0,10,0,0,0,0,0,16,49,2
hsa-mir-4724_mature,0,29,0,19,113,55,0,0,0,42,9,83
hsa-mir-4726_mature,0,0,0,34,23,14,0,0,0,13,22,20
hsa-mir-4727_mature,35,0,0,53,54,32,0,0,0,39,44,31
hsa-mir-4728_mature,0,0,0,14,10,148,0,5,26,86,12,7
hsa-mir-4738_mature,0,0,0,12,18,27,0,0,0,24,0,13
hsa-mir-4741_mature,26,0,0,0,0,0,0,0,0,3,0,2
hsa-mir-4742_mature,0,76,27,20,54,50,0,0,16,41,65,9
hsa-mir-4743_mature,20,0,0,0,12,0,0,0,0,27,15,15
hsa-mir-4745_mature,104,42,63,24,62,96,12,27,6,40,67,74
hsa-mir-4746_mature,6,0,0,50,82,114,0,0,0,147,13,72
hsa-mir-4747_mature,0,0,0,6,1,0,0,0,0,12,0,5
hsa-mir-4748_mature,0,0,0,14,0,12,0,0,0,2,0,0
hsa-mir-4749_mature,40,0,0,7,21,20,0,0,29,30,24,21
hsa-mir-4753_mature,70,0,31,16,0,37,37,0,0,6,31,5
hsa-mir-4755_mature,18,19,15,42,46,82,19,8,25,42,12,22
hsa-mir-4758_mature,39,0,0,7,19,144,53,0,27,2,15,5
hsa-mir-4762_mature,39,0,55,8,30,4,0,20,0,20,3,13
hsa-mir-4766_mature,0,0,0,0,0,9,0,0,0,0,23,4
hsa-mir-4775_mature,0,0,0,55,34,2,0,0,0,50,9,20
hsa-mir-4779_mature,0,12,0,0,106,5,0,0,0,6,34,0
hsa-mir-4779_unannotated,0,0,0,10,0,0,0,0,0,0,56,2
hsa-mir-4782_mature,0,0,0,4,15,0,0,0,0,8,0,5
hsa-mir-4786_mature,0,0,0,0,64,0,0,0,24,0,26,8
hsa-mir-4788_mature,0,0,0,0,31,0,0,0,0,15,23,0
hsa-mir-4796_mature,0,0,0,21,10,40,0,0,0,9,15,11
hsa-mir-4797_mature,0,0,0,0,55,0,0,0,0,14,41,10
hsa-mir-4804_mature,0,56,0,0,23,40,0,0,0,11,40,9
hsa-mir-483_mature,34278,34731,53141,12016,21297,23588,34185,33235,29315,23435,20558,15732
hsa-mir-484_mature,6694,4402,10873,28023,74339,55676,5176,8183,4637,38963,59673,37403
hsa-mir-485_mature,0,0,0,3,11,0,23,0,0,6,0,19
hsa-mir-486-1_mature,11,21,17,47,13,15,57,1,14,52,8,5
hsa-mir-486-2_mature,6,28,9,67,16,39,66,53,11,40,4,8
hsa-mir-487b_mature,0,0,37,37,57,60,0,0,1,29,151,48
hsa-mir-491_mature,89,0,0,16,16,12,4,1,3,14,102,44
hsa-mir-493_mature,184,0,57,86,97,33,45,0,57,123,162,66
hsa-mir-494_mature,25,48,0,21,36,25,27,103,0,112,44,37
hsa-mir-495_mature,0,0,57,10,66,91,0,0,0,30,47,37
hsa-mir-497_mature,4,0,0,13,0,23,0,0,0,0,14,30
hsa-mir-498_mature,0,0,0,0,11,10,0,1,0,3,8,12
hsa-mir-499a_mature,47,50,72,110,364,238,39,0,13,60,165,124
hsa-mir-499b_mature,0,0,0,7,0,0,0,0,0,0,20,8
hsa-mir-5000_mature,0,0,0,0,19,0,0,0,0,0,16,4
hsa-mir-5001_mature,0,0,0,6,7,48,25,0,0,64,148,7
hsa-mir-5004_mature,32,0,80,0,20,40,7,0,13,6,55,0
hsa-mir-5006_mature,0,0,0,3,16,16,0,0,0,16,11,3
hsa-mir-500b_mature,13,0,0,21,70,35,0,0,0,53,0,53
hsa-mir-501_mature,34,1843,32,800,1437,1972,18,1,1043,1587,1427,1441
hsa-mir-5010_mature,130,18,94,14,72,201,132,67,34,7,71,28
hsa-mir-502_mature,0,0,0,24,0,44,0,0,0,49,0,30
hsa-mir-504_mature,0,31,0,29,51,0,0,0,0,47,13,27
hsa-mir-505_mature,29,34,553,194,343,324,474,158,22,265,383,228
hsa-mir-508_mature,0,0,0,10,41,3,0,0,0,8,0,10
hsa-mir-5089_mature,0,0,0,18,14,87,0,0,0,12,41,11
hsa-mir-509-1_mature,0,0,0,0,0,2,0,0,5,2,0,0
hsa-mir-509-2_mature,0,0,0,0,0,1,0,0,11,3,0,1
hsa-mir-5094_mature,17,24,0,178,283,170,0,0,0,175,234,86
hsa-mir-5094_unannotated,0,0,0,0,28,3,0,0,0,0,0,1
hsa-mir-511_mature,0,0,0,24,0,0,0,0,0,13,10,0
hsa-mir-512-1_mature,0,0,10,14,11,36,11,6,9,1,37,47
hsa-mir-512-2_mature,0,0,24,9,11,33,4,11,10,3,36,46
hsa-mir-513a-1_mature,0,0,0,6,6,0,0,0,0,6,0,0
hsa-mir-513a-2_mature,0,0,0,4,6,0,0,0,0,2,0,0
hsa-mir-516a-1_mature,0,0,0,21,79,42,0,36,0,32,40,40
hsa-mir-516a-2_mature,0,0,0,21,76,34,0,31,0,29,53,29
hsa-mir-516b-2_mature,0,0,0,2,0,0,0,0,0,7,0,1
hsa-mir-5187_mature,0,18,0,9,7,19,0,0,0,19,52,10
hsa-mir-5189_mature,0,0,0,24,35,6,26,0,0,5,23,41
hsa-mir-519a-1_mature,0,0,0,9,0,9,11,0,0,32,32,0
hsa-mir-519c_mature,0,0,0,38,0,0,0,0,0,0,12,7
hsa-mir-520a_mature,0,0,0,12,0,8,0,0,0,1,0,17
hsa-mir-520d_mature,0,0,0,7,0,0,0,1,0,0,19,0
hsa-mir-522_mature,0,0,0,70,127,98,12,0,0,41,19,31
hsa-mir-524_mature,0,0,0,2,6,0,0,10,0,0,0,0
hsa-mir-526b_mature,0,0,0,6,38,16,0,0,0,0,2,5
hsa-mir-532_mature,153,124,325,485,1475,1551,110,133,109,609,923,543
hsa-mir-539_mature,0,0,0,0,0,26,0,0,0,0,9,9
hsa-mir-541_mature,0,0,0,10,49,0,0,0,0,31,0,10
hsa-mir-543_mature,0,0,15,53,125,34,1,27,0,61,119,85
hsa-mir-548ac_mature,0,0,1,0,24,9,0,0,0,6,0,0
hsa-mir-548ai_mature,0,0,0,17,0,15,0,0,0,1,0,7
hsa-mir-548ar_mature,0,0,0,1,40,0,0,0,0,15,12,17
hsa-mir-548at_mature,0,0,0,8,0,0,0,0,0,31,14,3
hsa-mir-548av_mature,4,0,0,2,5,0,0,0,0,0,0,4
hsa-mir-548aw_mature,0,0,0,0,0,0,0,0,0,10,38,22
hsa-mir-548ay_mature,0,26,0,11,26,0,0,0,4,43,0,44
hsa-mir-548b_mature,15,0,0,3,72,16,0,0,0,60,6,57
hsa-mir-548e_mature,0,0,46,9,14,275,4,0,0,15,566,5
hsa-mir-548f-1_mature,0,0,0,19,0,0,0,0,0,2,13,0
hsa-mir-548h-5_unannotated,0,0,0,0,0,0,0,0,0,2,15,4
hsa-mir-548j_mature,0,0,0,6,0,11,0,0,0,21,0,16
hsa-mir-548k_mature,2,0,0,45,59,156,0,0,37,35,61,87
hsa-mir-548l_mature,19,5,0,174,310,224,0,1,8,129,381,180
hsa-mir-548n_mature,0,0,0,32,0,37,0,0,1,46,37,94
hsa-mir-548o_mature,7,0,22,87,434,168,20,7,8,214,205,188
hsa-mir-548o-2_mature,11,0,20,85,399,159,16,8,1,217,230,181
hsa-mir-548v_mature,0,0,0,46,72,51,0,0,0,57,41,65
hsa-mir-549a_mature,34,0,75,162,70,180,11,0,0,58,19,14
hsa-mir-550a-1_mature,3,1,35,2,35,37,50,4,15,20,15,18
hsa-mir-550a-2_mature,2,0,19,8,25,34,51,4,15,16,17,17
hsa-mir-550a-3_mature,10,0,0,4,15,5,0,9,0,17,21,23
hsa-mir-551a_mature,154,79,30,400,823,932,10,114,53,903,703,619
hsa-mir-551a_unannotated,0,0,47,28,26,31,6,0,5,0,52,12
hsa-mir-552_mature,1,0,0,6,34,0,0,0,0,13,1,3
hsa-mir-556_mature,57,121,59,135,195,164,108,36,45,158,74,179
hsa-mir-5580_mature,0,0,0,6,0,0,0,0,0,40,14,1
hsa-mir-5581_mature,0,0,0,16,0,4,0,0,0,6,66,8
hsa-mir-5582_mature,0,0,7,2,0,0,0,0,0,0,23,6
hsa-mir-5588_mature,171,42,0,117,122,221,29,59,23,98,192,73
hsa-mir-559_unannotated,0,0,0,0,25,0,0,0,0,6,27,4
hsa-mir-5690_mature,0,0,0,6,29,0,0,0,0,0,0,3
hsa-mir-5696_mature,0,0,0,16,0,0,0,0,0,8,9,24
hsa-mir-5696_unannotated,0,0,0,72,36,90,0,0,0,24,5,11
hsa-mir-5697_mature,0,0,1,69,106,58,0,1,14,9,67,34
hsa-mir-5699_mature,11,0,0,11,0,0,0,0,0,0,0,6
hsa-mir-570_mature,52,18,0,10,14,16,0,0,0,1,1,3
hsa-mir-5706_mature,0,0,0,10,0,12,0,0,0,0,0,3
hsa-mir-574_mature,7661,4858,10968,19,55562,46423,6624,6172,5102,26119,30,3
hsa-mir-576_mature,89,22,199,548,14,666,49,25,36,625,435,4
hsa-mir-578_unannotated,36,0,0,41,88,71,25,23,0,14,68,4
hsa-mir-579_mature,10,0,0,6,12,19,0,0,0,65,30,5
hsa-mir-582_mature,33,20,33,14,59,23,11,0,0,38,18,37
hsa-mir-584_mature,254,100,227,557,1124,944,157,373,90,708,957,525
hsa-mir-589_mature,86,88,199,46,181,71,31,233,115,64,84,116
hsa-mir-590_mature,0,0,25,18,24,12,0,0,0,20,77,22
hsa-mir-592_mature,0,0,0,3,9,6,0,0,0,0,6,0
hsa-mir-597_mature,0,0,0,39,43,17,0,0,0,52,73,34
hsa-mir-600_mature,0,0,0,11,0,12,0,0,0,8,0,18
hsa-mir-600_unannotated,0,0,0,8,0,0,0,0,7,11,0,0
hsa-mir-602_mature,16,0,0,4,19,0,0,0,0,0,0,9
hsa-mir-615_mature,0,5,63,0,0,0,0,18,1,57,78,14
hsa-mir-616_mature,52,25,65,262,338,248,24,2,16,329,525,277
hsa-mir-618_mature,0,15,28,668,1000,1138,96,0,0,974,604,665
hsa-mir-624_mature,24,11,0,184,12,1,90,0,0,6,297,3
hsa-mir-625_mature,334,60,746,118,89,233,627,782,502,99,74,137
hsa-mir-627_mature,6,12,0,51,3,17,0,39,21,13,61,15
hsa-mir-628_mature,1,19,1,208,178,265,53,73,3,187,167,234
hsa-mir-629_mature,986,916,1821,26,138,28,1645,1734,1076,77,71,15
hsa-mir-636_mature,0,43,0,32,89,1,0,0,0,59,10,25
hsa-mir-641_mature,42,0,0,114,152,314,0,0,0,197,197,214
hsa-mir-641_unannotated,0,0,0,49,24,261,0,0,0,45,90,82
hsa-mir-642a_mature,0,0,0,7,44,0,0,0,0,19,2,31
hsa-mir-643_mature,0,0,0,29,16,37,3,0,0,25,31,46
hsa-mir-6501_mature,0,0,0,0,19,0,0,0,0,26,13,0
hsa-mir-6508_mature,0,0,0,0,6,29,21,0,0,12,0,0
hsa-mir-6509_mature,0,0,55,10,34,0,0,0,12,7,25,4
hsa-mir-651_mature,46,43,64,909,1782,1249,220,150,85,1246,1206,1186
hsa-mir-6511b-1_mature,65,36,75,43,90,106,58,59,28,23,99,39
hsa-mir-6511b-2_mature,67,17,70,46,95,95,36,59,14,16,77,40
hsa-mir-6513_mature,0,8,0,7,26,18,15,0,0,15,26,38
hsa-mir-6514_mature,52,0,10,48,171,80,75,0,18,122,151,90
hsa-mir-6515_mature,18,0,28,8,23,20,0,0,0,47,32,30
hsa-mir-6516_mature,13,0,0,25,1,127,0,0,0,4,18,16
hsa-mir-652_mature,79,44,366,1144,1617,1634,79,98,27,1813,1389,1791
hsa-mir-6529_mature,29,83,166,52,25,35,69,66,24,9,31,39
hsa-mir-654_mature,46,0,0,37,49,18,0,0,0,51,15,78
hsa-mir-655_mature,0,0,0,28,0,48,0,0,0,13,0,28
hsa-mir-659_mature,17,0,0,6,31,21,6,0,18,79,28,8
hsa-mir-660_mature,252,388,355,2119,25,17,422,114,247,57,32,66
hsa-mir-664a_mature,33,68,70,108,33,112,58,46,84,213,142,232
hsa-mir-664b_mature,0,0,0,11,37,55,0,0,0,20,9,29
hsa-mir-671_mature,82,32,58,96,327,95,59,219,58,58,124,71
hsa-mir-6715a_mature,250,67,248,947,2611,1432,136,78,111,1292,1811,1230
hsa-mir-6715a_unannotated,0,0,6,28,6,46,0,0,44,65,0,36
hsa-mir-6716_mature,0,0,0,2,15,0,0,0,36,3,71,13
hsa-mir-6726_mature,6,21,0,0,0,16,16,2,0,0,13,3
hsa-mir-6727_mature,24,0,0,6,7,26,0,0,0,0,18,14
hsa-mir-6728_mature,0,0,0,10,22,52,15,0,0,6,8,23
hsa-mir-6730_mature,0,0,0,22,46,80,0,0,0,22,37,13
hsa-mir-6733_mature,0,0,0,17,4,0,0,0,0,37,0,9
hsa-mir-6734_mature,18,0,49,49,240,94,0,74,9,97,231,3
hsa-mir-6735_mature,23,29,49,46,38,14,23,0,0,45,63,38
hsa-mir-6737_mature,0,0,0,0,46,0,0,0,0,16,0,11
hsa-mir-6739_mature,33,0,0,6,75,9,1,0,0,18,0,18
hsa-mir-6740_mature,0,0,0,1,83,90,1,0,0,0,48,11
hsa-mir-6741_mature,0,0,5,9,0,0,0,0,0,8,26,2
hsa-mir-6743_mature,39,0,0,0,14,0,27,0,0,0,5,2
hsa-mir-6745_mature,15,0,0,13,0,124,0,0,0,33,8,19
hsa-mir-6746_mature,0,0,2,0,0,0,0,0,0,0,9,2
hsa-mir-6747_mature,0,42,0,45,131,51,27,0,0,91,63,32
hsa-mir-6749_mature,0,0,18,0,0,31,0,0,3,0,8,0
hsa-mir-6751_mature,0,0,0,12,36,0,0,0,0,17,31,13
hsa-mir-6753_mature,0,0,0,10,44,0,0,0,0,10,2,4
hsa-mir-6754_mature,34,0,0,0,20,5,12,0,0,0,1,0
hsa-mir-6755_mature,0,78,1,9,31,27,0,0,0,0,47,25
hsa-mir-6758_mature,18,0,0,10,6,13,0,0,0,25,12,17
hsa-mir-6759_mature,0,0,0,0,15,18,0,0,0,0,0,9
hsa-mir-676_mature,177,15,14,110,148,189,199,1,20,110,81,76
hsa-mir-6761_mature,4,0,0,20,73,32,0,31,0,0,14,5
hsa-mir-6763_mature,12,0,0,0,0,61,0,0,0,0,0,11
hsa-mir-6764_mature,0,0,0,36,131,14,0,0,0,15,18,7
hsa-mir-6767_mature,1,0,58,7,50,0,0,0,0,26,32,2
hsa-mir-6768_mature,0,0,0,0,0,13,0,0,7,0,5,0
hsa-mir-6769a_mature,0,6,0,1,0,0,0,0,0,8,16,0
hsa-mir-6770-1_mature,0,0,0,1,0,31,0,0,0,12,2,9
hsa-mir-6770-2_mature,0,0,0,0,1,21,0,0,0,14,4,2
hsa-mir-6770-3_mature,0,0,0,5,0,27,0,0,0,10,0,5
hsa-mir-6772_mature,0,0,0,3,0,0,0,0,0,0,34,2
hsa-mir-6773_mature,0,12,0,13,26,0,0,0,0,0,9,5
hsa-mir-6775_mature,0,0,23,0,21,39,15,0,0,9,25,0
hsa-mir-6776_mature,0,0,53,6,0,10,0,0,0,14,0,0
hsa-mir-6777_mature,0,0,0,0,51,0,0,0,0,2,13,0
hsa-mir-6779_mature,1,0,71,0,10,0,0,0,0,0,0,0
hsa-mir-6780a_mature,22,0,0,13,84,42,32,94,0,3,38,35
hsa-mir-6780b_mature,0,0,0,18,22,10,0,0,0,21,0,11
hsa-mir-6783_mature,0,0,0,36,10,5,0,0,0,0,0,32
hsa-mir-6786_mature,70,0,0,1,47,55,16,0,0,3,147,26
hsa-mir-6787_mature,11,0,19,7,6,26,28,1,1,26,20,1
hsa-mir-6788_mature,0,49,0,6,35,8,8,0,37,8,35,4
hsa-mir-6789_mature,46,0,14,1,0,22,4,0,0,15,0,6
hsa-mir-6791_mature,0,0,0,3,14,2,0,0,7,15,65,8
hsa-mir-6793_mature,0,0,0,0,0,22,0,0,0,12,0,20
hsa-mir-6796_mature,0,0,0,0,0,0,4,0,0,0,59,8
hsa-mir-6797_mature,0,0,0,7,12,0,0,0,0,3,17,5
hsa-mir-6800_mature,0,0,0,0,22,10,0,0,11,0,25,3
hsa-mir-6801_mature,0,0,0,0,0,1,0,0,0,0,3,5
hsa-mir-6802_mature,0,0,0,0,10,0,0,0,0,8,0,5
hsa-mir-6803_mature,67,7,93,15,44,71,0,32,0,1,21,0
hsa-mir-6804_mature,0,0,0,5,39,0,22,0,0,15,35,5
hsa-mir-6805_mature,0,0,0,19,49,0,0,0,0,3,81,6
hsa-mir-6806_mature,0,0,0,0,12,55,0,0,0,0,0,10
hsa-mir-6807_mature,12,28,97,18,67,144,36,0,0,138,167,51
hsa-mir-6810_mature,0,0,0,1,5,26,0,0,0,0,22,3
hsa-mir-6812_mature,35,0,0,16,0,39,0,0,0,0,0,0
hsa-mir-6813_mature,0,14,0,5,0,17,0,0,0,0,51,4
hsa-mir-6814_mature,0,0,0,3,0,0,0,0,0,15,0,5
hsa-mir-6815_mature,0,7,0,11,8,64,24,0,3,16,154,10
hsa-mir-6816_mature,43,0,0,35,18,43,15,0,0,28,43,5
hsa-mir-6818_mature,0,0,0,2,1,10,0,0,0,18,32,13
hsa-mir-6819_mature,0,0,27,0,17,0,0,0,22,6,0,1
hsa-mir-6820_mature,0,0,13,4,121,133,1,0,6,1,24,11
hsa-mir-6821_mature,0,75,0,8,2,16,0,37,0,21,17,33
hsa-mir-6824_mature,0,0,0,0,17,0,0,0,9,18,0,0
hsa-mir-6826_mature,16,0,0,0,70,42,0,0,0,1,0,6
hsa-mir-6833_mature,0,0,0,17,31,0,21,0,48,2,0,2
hsa-mir-6842_mature,0,0,0,9,45,0,0,0,0,0,38,12
hsa-mir-6843_mature,0,0,0,0,0,3,0,0,0,18,0,12
hsa-mir-6845_mature,0,0,0,0,0,24,0,0,0,23,0,1
hsa-mir-6846_mature,0,0,0,0,0,0,0,0,0,15,29,11
hsa-mir-6847_mature,0,0,0,13,0,21,0,0,0,43,0,8
hsa-mir-6848_mature,0,0,0,12,0,29,35,0,0,0,0,0
hsa-mir-6849_mature,0,0,0,4,0,25,0,0,1,0,7,0
hsa-mir-6851_mature,0,0,0,0,0,10,0,0,0,23,0,3
hsa-mir-6852_mature,0,0,0,10,65,0,0,0,0,48,10,63
hsa-mir-6855_mature,18,0,0,25,0,0,0,0,0,6,12,4
hsa-mir-6856_mature,0,0,0,8,9,28,0,0,0,0,0,10
hsa-mir-6858_mature,0,18,0,2,17,10,0,0,0,12,0,5
hsa-mir-6862-1_mature,0,15,34,34,172,34,18,0,8,81,82,27
hsa-mir-6862-2_mature,0,19,34,42,167,36,24,0,5,87,74,37
hsa-mir-6865_mature,0,0,74,0,0,21,0,0,0,21,14,0
hsa-mir-6866_mature,0,0,0,54,142,134,0,0,17,23,158,26
hsa-mir-6867_mature,0,0,0,0,17,32,0,0,0,0,0,25
hsa-mir-6868_mature,0,0,0,16,78,40,0,0,0,30,11,17
hsa-mir-6871_mature,0,0,0,1,20,5,29,0,0,6,33,5
hsa-mir-6873_mature,17,0,0,16,27,4,0,0,30,22,9,25
hsa-mir-6876_mature,0,0,0,3,2,87,0,0,0,125,1,73
hsa-mir-6877_mature,0,0,24,16,97,0,0,0,0,54,9,29
hsa-mir-6880_mature,0,0,0,4,0,0,0,0,48,4,0,1
hsa-mir-6881_mature,0,30,21,4,14,75,30,2,0,52,107,37
hsa-mir-6882_mature,0,0,0,23,33,43,0,39,17,8,0,9
hsa-mir-6883_mature,0,27,0,0,0,0,0,26,0,3,0,11
hsa-mir-6884_mature,0,15,0,8,0,0,0,0,0,0,0,12
hsa-mir-6885_mature,3,0,0,0,0,0,0,0,0,2,0,6
