miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-1289-2_mature,0,0,0,1,5,0,0,0,0,8,0,10
hsa-mir-129-1_mature,0,10,9,28,74,62,0,0,0,9,21,13
hsa-mir-129-2_mature,0,14,11,4,13,52,0,0,0,15,13,22
hsa-mir-1291_mature,0,0,97,16,0,65,0,0,0,27,0,22
hsa-mir-1292_mature,477,311,277,1506,3538,3,299,368,240,2534,30,1588
hsa-mir-1293_mature,17,0,0,11,55,19,0,0,0,0,11,23
hsa-mir-1294_mature,0,0,0,53,29,0,0,0,0,0,0,14
hsa-mir-1296_mature,53,49,52,824,1386,1535,174,15,182,1059,1078,803
hsa-mir-1301_mature,154,36,191,1852,3263,2367,184,28,24,2627,2133,1834
hsa-mir-1303_unannotated,23,0,0,10,5,0,0,0,0,8,7,13
hsa-mir-1304_mature,208,99,265,1023,14,1369,195,150,95,1627,1306,1146
hsa-mir-1306_mature,1,20,82,119,279,245,33,206,234,179,191,48
hsa-mir-1307_mature,212,80,75,618,1280,1214,194,129,56,684,1447,729
hsa-mir-130a_mature,112,6,88,338,881,763,45,91,23,376,488,436
hsa-mir-130b_mature,364,327,656,1666,3269,3648,364,312,437,2984,3276,2023
hsa-mir-132_mature,96,18,103,19,80,475,50,84,0,62,69,35
hsa-mir-1323_mature,0,31,12,228,509,325,136,110,0,465,292,295
hsa-mir-133a-1_mature,19,0,0,13,17,26,0,0,0,28,51,11
hsa-mir-133a-2_mature,17,0,0,16,29,33,0,0,0,21,33,17
hsa-mir-134_mature,19,0,0,0,0,0,0,0,0,8,35,10
hsa-mir-1343_mature,29,0,46,60,199,94,0,0,0,134,181,79
hsa-mir-135a-1_mature,0,0,102,2,0,0,0,0,0,0,0,16
hsa-mir-135b_mature,123,12,14,58,50,109,7,162,120,37,2,19
hsa-mir-136_mature,0,0,0,0,0,13,0,0,0,0,21,4
hsa-mir-138-1_mature,0,0,0,4,1,2,1,0,0,16,25,9
hsa-mir-138-2_mature,0,0,27,4,45,19,0,0,0,30,7,5
hsa-mir-139_mature,21,0,0,17,69,78,42,81,0,7,55,4
