"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-mir-6509_mature",2.12205603146,2.12205603146,6.34065772131351,3.73483612740595,4.11907113480096,2.12205603146,2.12205603146,2.12205603146,5.38568839301319,3.26728789906748,4.13606447651721,3.11704954321932
"hsa-mir-651_mature",6.54276511459337,6.99195684384065,6.53839655624071,9.12118429508619,9.02306692398897,8.70230221844425,8.7796937310515,8.22279597739614,7.94431177179302,9.03101169976797,8.93323560500787,9.33835906410024
"hsa-mir-6511b-1_mature",7.00321278599806,6.75399729974648,6.74809939622267,5.09095488776359,5.08687665125933,5.42223232957674,6.93231304298991,6.93852914753633,6.43931756658133,4.09542445762619,5.57672920712649,4.86073139641754
"hsa-mir-6511b-2_mature",7.04410330759753,5.78930615350544,6.65655287585167,5.16671782365427,5.14749170999178,5.29450616605107,6.30315237247109,6.93852914753633,5.56845160938981,3.8026548530937,5.28084484098832,4.88781587340374
"hsa-mir-6513_mature",2.12205603146,4.91492846173351,2.12205603146,3.49085074877765,3.89709644632423,3.71617156076821,5.23176598273046,2.12205603146,2.12205603146,3.75439415670582,4.17040266050574,4.83310441924629
"hsa-mir-6514_mature",6.70467896580503,2.12205603146,4.39224408844026,5.21504105191171,5.84468069036529,5.09923043104394,7.28038026335329,2.12205603146,5.8756621702783,5.87665801449414,6.09911990684948,5.82876655224549
"hsa-mir-6515_mature",5.37168808726615,2.12205603146,5.49932130059229,3.57825631224594,3.80228263954114,3.79404396585162,2.12205603146,2.12205603146,2.12205603146,4.77719898233317,4.35924193442275,4.58940047419532
"hsa-mir-6516_mature",5.00272841526944,2.12205603146,2.12205603146,4.52090412272333,2.49153601063662,5.63805053832357,2.12205603146,2.12205603146,2.12205603146,2.99720017752733,3.86520209321285,4.01334815107785
"hsa-mir-652_mature",7.26769889562223,7.02295280275429,8.94136283511696,9.4483107274882,8.88532932609493,9.0828795843839,7.35135467093285,7.63043067219207,6.39194165256305,9.56461060717484,9.1336911451964,9.92648760962977
"hsa-mir-6529_mature",5.94991542461839,7.89363508082698,7.83074496335045,5.30696818481956,3.86631456304515,4.25898805283072,7.16689674162842,7.08973547129213,6.23963457040589,3.41162912544615,4.32960484598312,4.86073139641754
"hsa-mir-654_mature",6.54276511459337,2.12205603146,2.12205603146,4.92583527752832,4.45341193551888,3.71617156076821,2.12205603146,2.12205603146,2.12205603146,4.86356695014746,3.72773360824985,5.65341266641134
"hsa-mir-655_mature",2.12205603146,2.12205603146,2.12205603146,4.63395999004121,2.12205603146,4.55934233031543,2.12205603146,2.12205603146,2.12205603146,3.65142243625457,2.12205603146,4.52097018651652
"hsa-mir-659_mature",5.30524779076915,2.12205603146,2.12205603146,3.39562515491939,4.04038257422906,3.83113331327925,4.28418500547543,2.12205603146,5.8756621702783,5.35263260552057,4.23644410058958,3.50382139703364
"hsa-mir-660_mature",8.88520158942764,10.0768538565924,8.89812263038329,10.3293504154139,3.86631456304515,3.67518611799,9.70579134332295,7.83986620767839,9.4498532636295,4.98376183367546,4.35924193442275,5.4533321288706
"hsa-mir-664a_mature",6.11305201478289,7.61743352314742,6.65655287585167,6.20125302005905,4.09338192521542,5.48732073522788,6.93231304298991,6.60700679836335,7.92783462050208,6.59177434080686,6.02132279690392,7.06064073795575
"hsa-mir-664b_mature",2.12205603146,2.12205603146,2.12205603146,3.80581581974927,4.19317374003541,4.69691727491547,2.12205603146,2.12205603146,2.12205603146,3.97835226636651,3.38981780967326,4.55561981475247
"hsa-mir-671_mature",7.3185656988074,6.5979569531308,6.40964213166604,6.05127396899025,6.6780354118228,5.29450616605107,6.95529055231438,8.75561935838217,7.41595403538704,5.0028190367228,5.85174165352286,5.54015430463742
"hsa-mir-6715a_mature",8.87391650172903,7.59699339803326,8.39183503564127,9.17936994178038,9.56654009426126,8.89573900824945,8.10312011396397,7.31689932852669,8.31752785129427,9.08246552069495,9.51124670080672,9.39022364995913
"hsa-mir-6715a_unannotated",2.12205603146,2.12205603146,3.94412655548331,4.63395999004121,3.01523584949037,4.51731828081413,2.12205603146,2.12205603146,7.03996345851902,5.1293829810348,2.12205603146,4.77612862309258
"hsa-mir-6716_mature",2.12205603146,2.12205603146,2.12205603146,2.87295569665191,3.50356735152224,2.12205603146,2.12205603146,2.12205603146,6.77077711079465,2.88278300950673,5.18807151330078,3.84697518592032
"hsa-mir-6726_mature",4.22860117549836,6.05323747545919,2.12205603146,2.12205603146,2.12205603146,3.63267516314274,5.30598099400464,3.43610678127931,2.12205603146,2.12205603146,3.62616305149907,2.98787338738183
"hsa-mir-6727_mature",5.71568774418329,2.12205603146,2.12205603146,3.39562515491939,3.08434407307137,4.00122051374804,2.12205603146,2.12205603146,2.12205603146,2.12205603146,3.86520209321285,3.90498500152577
"hsa-mir-6728_mature",2.12205603146,2.12205603146,2.12205603146,3.73483612740595,3.76892640502568,4.63965629668798,5.23176598273046,2.12205603146,2.12205603146,3.18611133837849,3.32131523869712,4.33279790134567
"hsa-mir-6730_mature",2.12205603146,2.12205603146,2.12205603146,4.397440173046,4.3930157573363,5.09923043104394,2.12205603146,2.12205603146,2.12205603146,4.05760124155397,4.49822618520584,3.84697518592032
"hsa-mir-6733_mature",2.12205603146,2.12205603146,2.12205603146,4.16187584513588,2.85512532144691,2.12205603146,2.12205603146,2.12205603146,2.12205603146,4.53387418708974,2.12205603146,3.58129746726387
"hsa-mir-6734_mature",5.37168808726615,2.12205603146,6.19185701991715,5.23859258619786,6.27353983645951,5.28229959335886,2.12205603146,7.2450867902316,5.05758455847566,5.59587124636235,6.65093903800592,2.98787338738183
"hsa-mir-6735_mature",5.66383881788165,6.46869231875628,6.19185701991715,5.16671782365427,4.2169541786842,3.54248248081622,5.73856735911477,2.12205603146,2.12205603146,4.7318883971289,5.05397059084843,4.83310441924629
"hsa-mir-6737_mature",2.12205603146,2.12205603146,2.12205603146,2.12205603146,4.3930157573363,2.12205603146,2.12205603146,2.12205603146,2.12205603146,3.8026548530937,2.12205603146,3.72174441066141
"hsa-mir-6739_mature",6.11305201478289,2.12205603146,2.12205603146,3.39562515491939,4.88739166416508,3.2764472317817,3.07242049276183,2.12205603146,2.12205603146,3.89367935820748,2.12205603146,4.11303851427665
