"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-mir-12136_mature",10.6602034756773,10.6311046293952,9.88735274826565,10.8016182987025,10.6298581206939,10.6731615437837,10.9675120986379,10.9747093616589,10.8016905103259,10.8471002599562,10.7443859640447,11.0564115250691
"hsa-mir-12136_unannotated",7.13943125234284,4.34541747735837,6.87180229354335,6.83003426116201,7.26154170754369,7.79070502878185,5.90085265158966,5.88316807111398,3.60701238561417,7.41528365114419,6.62276426167892,7.45509701465335
"hsa-mir-122_mature",12.8497367954152,13.226573898775,12.3696584907612,12.828783287096,12.9032000064294,5.59549078274786,12.7417246859776,13.2846447866822,12.7034592925391,12.645413636082,1.58052606311116,3.41857975981727
"hsa-mir-1224_mature",0,0,0,4.29977573358709,2.40769194568926,4.87828104078776,0,0,0,1.40683079427578,0,5.10377528203908
"hsa-mir-1225_mature",7.04197129338968,0,0,2.38446646540873,0,3.9419280928658,0,3.1270053348245,0,3.27360357046557,5.78527477384283,1.65717135639936
"hsa-mir-1226_mature",7.2307219533724,5.9482755816521,8.32930425825711,4.00690958198565,8.00122199784574,3.14363846943018,7.57709974769664,6.2920817013229,9.13708574222273,6.95465892919966,1.58052606311116,1.65717135639936
"hsa-mir-1228_mature",6.93744743963474,8.17074267104108,6.27670925133585,4.25490965215353,2.87102146068654,4.26959442221821,5.25580140233542,6.45995962292176,4.70961226571652,3.14483236872819,2.9576698794401,3.68334433584177
"hsa-mir-1229_mature",8.47027068013045,9.34402632824388,8.19933185608311,4.1112783021983,1.95264354833391,3.91094264801862,7.56222810304577,5.16240683901956,6.98674271013522,3.98767236954519,5.39266948185716,2.5475594949931
"hsa-mir-122b_mature",0,0,0,4.87501376714292,6.04178604578898,2.29829187391397,6.27378138793544,0,0,5.23828154211767,4.87131149609068,5.77740346573343
"hsa-mir-1236_mature",0,0,6.03685183128144,3.04209630446771,3.3486093563527,5.00105644887832,5.17989508983305,4.70833288788493,5.3272149204376,3.50107326397551,2.19642447464729,5.01045052645976
"hsa-mir-1237_mature",5.16980740357284,7.56041387267739,0,1.14152766891581,0,2.09275727861491,0,0,0,0,1.13387472655393,1.05449263362891
"hsa-mir-124-1_mature",0,0,0,1.77074033060769,0.896271447983389,0,0,4.59744714938072,0,1.16263246130955,2.19642447464729,1.05449263362891
"hsa-mir-124-2_mature",0,0,0,2.0055303104494,0.896271447983389,0,0,4.99750860070363,0,1.40683079427578,1.76083691649437,0.621518650383613
