"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-mir-1-2_mature",24.9453607180582,139.059266679535,2.31950730447926,148.752772429416,179.278642958014,102.560950161551,42.1245895957665,33.8788358507967,1,175.650409760909,177.78205052001,166.856097179098
"hsa-mir-100_mature",505.694525903688,67.2684480061766,295.250128898875,130.660596213569,1,98.3156371322901,220.331144510754,308.513817663334,1,94.3120392576017,1,1
"hsa-mir-101-1_mature",3544.91338627262,4984.9395271312,3765.55433967933,8938.53505062833,11263.5594877389,8707.48389793284,6163.81349799414,4729.75021501165,5598.99966949331,9181.08796837839,12151.5807110792,11634.0820368833
"hsa-mir-101-2_mature",3550.43923874601,4772.32825644471,3787.98596385548,9010.90375549172,6.7416632192597,8832.88391356639,6255.85424613705,5066.27477019039,5775.16049825358,9326.42353394775,12361.4098566288,11871.0193185677
"hsa-mir-101-2_precursor",1,1,1,11.8553057295081,8.17707902407463,1,1,1,1,5.95462155350097,1,10.154394974171
"hsa-mir-10394_mature",1,1,1,16.0768135132057,21.6699875893349,9.81718859923434,1,1,1,9.25770258916829,1,17.6933084823118
"hsa-mir-10395_mature",1,75.5520040069486,77.5314236597971,5.82458032422582,6.7416632192597,1,1,1,1,5.54173642404256,1,7.46192586412069
"hsa-mir-10399_mature",23.1034098935922,56.2237066718138,76.2119163553178,60.1011089717663,28.5599834524466,39.2078172633488,1,2.93404916769392,124.032959769084,64.9971950660542,34.0470950296416,45.6949872268347
"hsa-mir-103a-1_mature",1,1,1,2.80921762158468,1,1,1,1,1,4.71596616512573,1,4.7694567540704
"hsa-mir-103a-2_mature",1,1,1,34.1689897290525,35.7370624765212,49.0046934847203,1,1,1,15.4509795310445,17.3244686291001,32.7711354985934
"hsa-mir-103a-2_precursor",1,1,94.6850186180275,2.80921762158468,11.9091601165934,23.8593778498668,1,49.3512291923481,1,17.1025200488782,28.0747284580196,20.3857775923621
"hsa-mir-105-1_mature",1,1,14.1950730447926,8.83994302686696,3.0095821267409,18.6343771984687,1,1,1,1.82577025891683,1,7.46192586412069
"hsa-mir-105-2_mature",1,3.76118533359069,8.91704382687556,7.6337979458105,1.28708316096299,13.7359390877829,1,1,1,2.65154051783366,1,4.7694567540704
"hsa-mir-10527_mature",4.68390164893203,61.7460773389952,1,74.5748499444438,107.79493587823,98.9687622137149,49.9578447568648,49.3512291923481,1,140.968058886403,117.660227032349,82.3125671235186
"hsa-mir-106a_mature",1,1,3.63901460895852,1,1,1,1,2.93404916769392,1,1,1,1.53849382201006
