miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-mir-30d_mature,22183.879672598618,-10.96441637607625,0.3978588707106728,-27.558557024231064,3.494747290291389e-167,2.2156697820447407e-164
hsa-mir-185_mature,1941.1600412807452,-5.411102717788584,0.29442927286898785,-18.37827694597596,1.9609919294624527e-75,6.216344416395975e-73
hsa-mir-629_mature,1372.0495421908292,-6.938562473772907,0.4734738410349225,-14.654584630497322,1.2592434521639306e-48,2.6612011622397736e-46
hsa-mir-20a_mature,410.92494578848715,-5.492855310076852,0.38782835408785654,-14.163109149137997,1.5498253735464174e-45,2.4564732170710714e-43
hsa-mir-483_mature,40812.267376888885,-3.2223358917518823,0.24589054307318248,-13.104757309811804,3.0924986025282885e-39,3.92128822800587e-37
hsa-mir-29a_mature,10628.69063784852,-10.376837410630538,0.8374438445046692,-12.391084463422407,2.9206680647531395e-35,3.086172588422484e-33
hsa-let-7e_mature,461.6995821741912,-5.091275994080393,0.4351259444682611,-11.700695071865015,1.2641377159707557e-31,1.1449475884649416e-29
hsa-mir-30e_mature,14030.124655194784,6.865799680222712,0.6300647754077499,10.896974324234318,1.1915382928692398e-27,9.442940970988726e-26
hsa-mir-224_mature,10110.922102128554,-8.219085417520132,0.8211759220636998,-10.008921592421661,1.3926225207514792e-23,9.810251979515976e-22
hsa-mir-330_mature,207.79413779337997,-3.69834567484348,0.4436655857858641,-8.335885841342881,7.69201079890523e-17,4.8767348465059155e-15
hsa-mir-26a-2_mature,578.726638564718,-3.7456503189631105,0.463807605489389,-8.075870845220118,6.699676519946448e-16,3.861449921496407e-14
hsa-mir-429_mature,5068.383336324335,2.3164436898231022,0.2950036138879591,7.852255297126211,4.086216262159588e-15,2.1588842585076493e-13
hsa-mir-1269b_mature,528.1725060418977,2.633115399881242,0.33624437962802317,7.830957361411294,4.841688683791645e-15,2.361254327326079e-13
hsa-mir-7-2_mature,970.6406663215403,2.2739705288913017,0.29652992218298513,7.668603937676351,1.7387843226714452e-14,7.87420900409783e-13
hsa-mir-625_mature,518.8444627166574,-4.222454914996216,0.5576731775398365,-7.57155819045034,3.687738126144773e-14,1.5586839813171905e-12
hsa-mir-7-3_mature,961.4662174157661,2.306298992902167,0.31039836886743255,7.430126006516355,1.0849427515349236e-13,4.299085652957135e-12
hsa-mir-145_mature,286.9468707768921,2.102063687134684,0.28535180129420235,7.366568837487106,1.7507556015210042e-13,6.529288537437158e-12
hsa-mir-106b_mature,2822.374008984944,2.957673838452682,0.40871727958014237,7.2364785787646975,4.604843573283973e-13,1.6219282363677995e-11
hsa-mir-372_mature,30.183149643993108,7.332520943467679,1.0193624220460407,7.1932423492225785,6.327049035853749e-13,2.111236362490146e-11
hsa-mir-888_mature,24.223291141510032,7.016963181795309,0.9988667170584797,7.024924408793264,2.1418217250057087e-12,6.789574868268097e-11
hsa-mir-891a_mature,32.60685195582696,7.444746733698531,1.0765903712898992,6.915115472172325,4.674824253296742e-12,1.4113517031381592e-10
hsa-mir-421_mature,3829.441631736564,1.674421478480026,0.2434913227808742,6.876719298892193,6.1246622620384275e-12,1.7650163064238012e-10
hsa-mir-192_mature,59.23409876480834,6.359829003221564,0.9377645088221717,6.781904138395558,1.1860216540236424e-11,3.227834016619419e-10
hsa-mir-27a_mature,31.12743401359137,6.890523321735078,1.0166613832730902,6.777599144713635,1.2218930031366886e-11,3.227834016619419e-10
hsa-mir-197_mature,1269.831780114848,-7.407394339961364,1.126599276418089,-6.575003637062898,4.865197876697979e-11,1.2338141815306075e-9
hsa-mir-9903_mature,20.024714705345243,6.742692848743028,1.0822600335097212,6.230196662512589,4.658500055582444e-10,1.1359573212458728e-8
hsa-mir-29b-2_mature,359.4156352407808,-6.702208326727843,1.0825024851228422,-6.191402254348891,5.963131240911319e-10,1.4002315580510283e-8
hsa-mir-196a-2_mature,80.85885769571328,4.0250953581021855,0.678697396664053,5.930618531743917,3.0179562515006527e-9,6.833515226612191e-8
hsa-mir-3115_mature,16.38961318013373,6.452205930114009,1.1023815866606677,5.85296961432295,4.8287237339353975e-9,1.0556589128672558e-7
hsa-mir-194-1_mature,4411.176802185302,1.3673186609232029,0.23841220799862683,5.735103384181896,9.745288352716612e-9,2.0595042718741107e-7
hsa-mir-103a-2_mature,14.871444112419328,6.312354173878415,1.1027147551960232,5.724376266966976,1.0381443649963068e-8,2.1231726690569632e-07
