"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-mir-192_mature",0,0,0,106.743839673496,182.010724050533,150.871893809121,0,1.93404916769392,8.38861089334661,75.9708638203483,62.1126123448685,122.776591418293
"hsa-mir-193a_mature",830.719821834173,1350.21962812585,1203.39066168509,701.976437174857,2.87083160962985,783.423535169006,1398.23604625606,941.881944666941,16.7772217866932,8.67058771862671,12.3428909146854,4.84644439809052
"hsa-mir-193b_mature",1344.62410186019,1256.33932678376,1542.50403893626,883.501271873853,1113.59558137542,908.170425721137,773.533947158464,1286.14269651646,1728.0538440294,748.560739708106,1282.06802404152,654.80848756423
"hsa-mir-194-1_mature",2167.9761203965,2487.82798556521,1877.65889427399,6635.00409089156,6759.66010803445,5511.06943706217,2743.5976201747,2576.15349136831,2936.01381267131,5813.83550790393,5620.39510166772,7804.92945621377
"hsa-mir-194-2_mature",2414.79753087495,140.820452013125,77.8509309642764,231.579855562839,191.484468362311,127.685953418542,383.82950289382,127.647245067799,3137.34047411163,272.091300313095,213.810723264067,345.713033730457
"hsa-mir-195_mature",0,0,0,31.9628446479961,10.3349937946675,16.3281270356191,0,0,0,3.71596616512573,10.7502598289195,1.61548146603017
"hsa-mir-196a-1_mature",36.8390164893203,0,9.23655113135482,159.211150699452,132.345337203936,129.645328662816,0,3.86809833538785,22.3696290489243,155.657693805822,72.4647144023466,138.392912256585
"hsa-mir-196a-2_mature",20.2614590691262,0,3.95852191343778,167.051093726319,146.412412091122,151.525018890546,3.91662758054919,3.86809833538785,25.1658326800398,218.416233483501,80.0297120597344,149.701282518796
"hsa-mir-196b_mature",0,0,0,6.6337979458105,0,0,0,0,0,9.49635797754353,13.1392064575683,6.46192586412069
"hsa-mir-197_mature",5105.8876854198,5486.4752578447,52.7802921791704,27.1382643237702,3.44499793155582,11.103126384221,4429.70579360113,3.86809833538785,69.9050907778884,14.8638646605029,21.5005196578391,11.3083702622112
